Id,SalePrice
1461,175417.3
1462,177920.52
1463,180351.39
1464,180931.67
1465,183818.47
1466,180574.14
1467,178833.44
1468,180343.28
1469,181392.6
1470,174679.31
1471,182382.25
1472,173808.05
1473,174079.02
1474,180116.23
1475,178926.27
1476,205121.77
1477,188091.94
1478,195148.11
1479,186786.12
1480,208215.28
1481,194231.47
1482,183850.3
1483,179805.67
1484,181437.61
1485,180330.19
1486,182410.53
1487,195974.72
1488,187328.8
1489,182432.86
1490,181360.64
1491,182289.36
1492,172917.34
1493,180590.6
1494,192306.12
1495,192601.48
1496,185909.73
1497,182272.42
1498,178757.8
1499,178755.52
1500,176631.83
1501,180619.36
1502,180730.56
1503,192610.69
1504,185950.42
1505,184192.4
1506,180899.27
1507,183204.88
1508,182149.1
1509,179853.53
1510,177989.34
1511,178017.14
1512,179931.52
1513,179836.08
1514,179165.66
1515,181386.9
1516,180327.83
1517,177397.23
1518,176224.61
1519,184692.23
1520,177035.31
1521,177656.94
1522,180133.16
1523,173939.36
1524,174896.28
1525,175370.73
1526,175544.06
1527,173661.73
1528,175022.39
1529,177497.0
1530,179642.25
1531,176363.81
1532,174577.25
1533,178469.7
1534,174330.19
1535,178986.73
1536,175383.25
1537,171562.33
1538,182065.2
1539,185119.5
1540,175357.95
1541,179473.94
1542,178083.23
1543,184394.83
1544,171271.58
1545,174384.95
1546,175017.69
1547,177285.77
1548,177085.34
1549,174881.47
1550,178875.97
1551,175399.9
1552,178567.03
1553,177124.39
1554,174220.98
1555,179463.06
1556,172757.05
1557,177140.69
1558,172606.31
1559,175323.56
1560,178360.66
1561,178699.11
1562,174964.73
1563,175131.66
1564,178431.55
1565,178910.86
1566,184520.45
1567,171349.02
1568,183298.64
1569,177628.5
1570,175108.9
1571,177181.6
1572,177213.34
1573,186680.55
1574,175773.97
1575,183539.34
1576,183696.5
1577,182383.17
1578,179864.23
1579,176065.5
1580,182137.55
1581,176401.08
1582,175750.34
1583,196247.1
1584,186923.84
1585,176355.31
1586,170415.28
1587,174304.14
1588,177525.36
1589,172395.23
1590,176919.98
1591,173837.62
1592,176273.48
1593,174911.62
1594,176029.6
1595,175724.11
1596,186630.84
1597,177712.22
1598,181674.7
1599,184418.86
1600,183627.97
1601,172299.95
1602,174610.4
1603,173501.78
1604,191109.7
1605,187830.16
1606,178955.47
1607,179335.0
1608,183332.1
1609,182152.64
1610,178642.77
1611,177759.9
1612,178480.53
1613,178829.17
1614,175101.0
1615,172471.77
1616,172434.95
1617,172665.44
1618,175144.27
1619,175563.23
1620,177829.9
1621,175914.19
1622,178435.3
1623,191429.38
1624,182650.81
1625,175590.55
1626,180305.9
1627,180721.11
1628,191043.22
1629,180850.0
1630,197066.8
1631,185904.6
1632,188280.45
1633,179932.47
1634,180666.06
1635,180772.53
1636,178752.4
1637,179354.98
1638,184874.77
1639,180382.9
1640,187242.95
1641,180703.84
1642,183915.11
1643,185803.86
1644,185365.83
1645,180132.73
1646,177790.22
1647,180091.81
1648,177583.83
1649,176731.52
1650,174630.47
1651,174226.39
1652,173827.16
1653,173843.48
1654,180050.22
1655,179976.73
1656,179918.75
1657,179999.27
1658,180093.25
1659,178908.2
1660,176317.44
1661,204448.92
1662,204711.98
1663,200973.12
1664,206267.47
1665,195748.44
1666,193729.8
1667,197735.83
1668,196775.58
1669,195275.95
1670,197360.22
1671,187930.0
1672,208026.34
1673,192663.48
1674,188334.12
1675,179959.77
1676,179973.98
1677,182364.52
1678,206286.45
1679,199363.58
1680,194939.4
1681,191088.45
1682,191864.62
1683,182048.89
1684,181342.0
1685,180568.1
1686,181262.08
1687,180038.86
1688,181623.1
1689,182246.75
1690,181664.17
1691,180613.6
1692,190150.98
1693,180082.83
1694,180690.7
1695,180637.89
1696,189525.3
1697,180957.42
1698,196840.92
1699,195601.7
1700,186601.1
1701,189100.56
1702,188214.52
1703,188071.22
1704,191945.23
1705,186341.28
1706,206037.64
1707,182522.16
1708,182641.25
1709,193870.2
1710,186356.58
1711,188558.48
1712,186257.1
1713,187643.33
1714,185020.86
1715,182398.67
1716,179912.89
1717,179256.6
1718,177793.78
1719,183062.05
1720,188530.53
1721,179640.69
1722,176923.6
1723,177575.75
1724,182840.58
1725,186327.16
1726,180753.47
1727,179731.83
1728,182063.03
1729,179085.42
1730,178982.28
1731,175608.92
1732,175847.17
1733,175508.66
1734,176476.69
1735,175451.7
1736,174723.33
1737,198329.33
1738,183180.11
1739,191261.88
